0,100
1,214
2,228
3,205
4,199
5,184
6,177
7,172
8,158
9,144
10,135
11,123
12,113
13,105
14,99
15,86
16,84
17,82
18,79
19,75
20,72
21,67
22,65
23,58
24,54
25,47
26,44
27,44
28,42
29,36
30,35
31,32
32,31
33,30
34,30
35,30
36,30
37,31
38,29
39,27
40,26
41,26
42,24
43,21
44,17
45,16
46,15
47,15
48,14
49,12
50,12
51,10
52,9
53,8
54,8
55,8
56,6
57,6
58,6
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,5
67,5
68,5
69,5
70,5
71,5
72,5
73,5
74,5
75,5
76,5
77,5
78,5
79,5
80,5
81,5
82,5
83,5
84,4
85,4
86,4
87,4
88,4
89,4
90,4
91,4
92,4
93,4
94,4
95,4
96,4
97,4
98,4
99,4
100,4
